matrícula	nome	idade	renda	cor	sexo	ano_curso	escola	cod_curso	logradouro	numero	bairro	cidade	uf	cep	motivação
RA55006700	Danicleia Cabral	21	1294.88	1	2	5	2	110	Rua Dez de Julho	594	Cidade Ademar	São Paulo	SP	04404-000	4
RA55007244	Derlison Bandeira Gaspar	21	2714.87	1	1	5	1	41	Rua Capitão Luís Ramos	871	Vila Guilherme	São Paulo	SP	02066-010	3
RA55000450	Carluci Amorim	19	1214.99	1	2	3	1	11	Rua Sete de Abril	277	Parque Primavera	São Paulo	SP	04467-285	10
RA55002228	Walmique Vilhena Grangeia	19	620.99	1	1	3	1	58	Rua Major Sucupira	301	Vila Firmiano Pinto	São Paulo	SP	04124-050	10
RA55005757	Anizabete Nolasco Caniça Reino	20	2298.42	1	2	4	2	82	Rua Aracy de Almeida	997	Jardim Indaiá	São Paulo	SP	08143-010	8
RA55000811	Gitania Torrado Modesto Carneiro	19	1069.99	1	2	3	1	46	Rua Pires de Almeida	58	Vila Pita	São Paulo	SP	02478-130	9
RA55004181	Geneton Aleixo	20	2264.42	1	1	4	2	17	Avenida Nove de Julho	568	Jardim Paulista	São Paulo	SP	01407-907	8
RA55009001	Gercino Frota	23	4745.74	2	1	4	1	10	Rua Duque da Terceira	930	Jardim Maristela	São Paulo	SP	02807-030	1
RA55005439	Clevisson Ferrão Melancia	20	2348.42	1	1	4	1	37	Rua Vinte de Março	315	Jardim Felicidade (Zona Norte)	São Paulo	SP	02326-115	6
RA55007534	Danuzi Vaz Santarém Jesus	21	2463.87	1	2	5	2	40	Rua Major Gomes Ribeiro	743	Vila Santa Teresa (Zona Leste)	São Paulo	SP	03565-020	3
RA55006370	Zeine Falcão	20	2187.42	1	2	4	1	71	Rua São João	323	Vila Pereira Barreto	São Paulo	SP	02920-050	5
RA55008417	Riete Silvestre Sodré	24	2708.21	1	2	3	2	50	Rua Vandoma	788	Parque Cocaia	São Paulo	SP	04850-170	2
RA55001478	Taisla Cangueiro Belchiorinho Canela	19	1101.99	1	2	3	1	50	Avenida Duquesa de Goiás	792	Real Parque	São Paulo	SP	05686-900	9
RA55001791	Alison Brito Godoi Branco	19	721.99	2	1	3	1	50	Travessa Sete de Setembro	449	Recanto dos Humildes	São Paulo	SP	05209-550	10
RA55002009	Algacir Sanches Bettencourt	19	1047.99	1	1	3	1	21	Travessa Dezoito de Dezembro	659	Vila Tolstoi	São Paulo	SP	03269-035	9
RA55000683	Adson Pinho Carqueijeiro Bivar	19	732.99	1	1	3	1	67	Rua Treze de Agosto	878	Vila União (Zona Leste)	São Paulo	SP	03920-070	10
RA55002817	Itaina Filipe Camarinho	19	2431.97	1	2	3	1	69	Rua André de Almeida	410	Cidade São Mateus	São Paulo	SP	03950-000	10
RA55009432	Edvanilson Rego Soveral	41	3791.8	1	1	1	2	42	Rua Nossa Senhora Aparecida	709	Jardim São Francisco	São Paulo	SP	08390-252	0
RA55003775	Jonas Branco	20	2412.42	1	1	4	2	84	Rua Pedro Bruno	172	Butantã	São Paulo	SP	05506-010	8
RA55006496	Kenia Negromonte Tabosa	21	1316.88	2	1	5	2	59	Rua Capitão Fidélis	7	Santo Amaro	São Paulo	SP	04744-070	4
RA55008879	Eudi Fortes Carrilho	23	3948.75	1	1	2	2	55	Rua do Buruí	876	Parque Casa de Pedra	São Paulo	SP	02320-170	3
RA55007362	Keisy Keil Macieira Catela	21	3505.86	1	2	5	2	59	Rua Piruini	530	Jardim Jaú (Zona Leste)	São Paulo	SP	03710-110	3
RA55008367	Nelzita Belchior Garcez	23	2716.76	1	2	2	1	43	Rua 5 de Outubro	841	Chácara Gaivotas	São Paulo	SP	04849-309	3
RA55007475	Windson Faro Sá	21	3525.86	1	1	5	1	34	Rua Trinta e Um de Outubro	686	Lauzane Paulista	São Paulo	SP	02442-165	2
RA55000047	Josiania Festas Varão	19	288.0	1	2	3	1	83	Rua Nossa Senhora Aparecida	604	Jardim Felicidade (Zona Norte)	São Paulo	SP	02326-105	9
RA55000031	Wita Serpa Meireles	19	280.0	2	1	3	1	73	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	9
RA55008251	Esterlino Velasques Vilariça França	22	2983.31	1	1	4	2	38	Avenida Agami	715	Moema	São Paulo	SP	04522-001	3
RA55006936	Elilde Neiva	21	1588.88	1	1	5	1	6	Rua São João	323	Vila Pereira Barreto	São Paulo	SP	02920-050	4
RA55001469	Drauzio Brites Boto Festas	19	1165.99	2	1	3	1	106	Rua Manuel Pinto	121	Jardim Eliza	São Paulo	SP	05776-460	9
RA55001666	Jully Ramires	19	663.99	1	2	3	1	85	Rua Rio Maruí	679	Itaquera	São Paulo	SP	08215-640	10
RA55001417	Wana Torquato Correia Oliveira	19	1131.99	1	2	3	1	1	Rua Capitão João Carlos	28	Nossa Senhora do Ó	São Paulo	SP	02926-060	9
RA55006481	Edinesia Peixoto	21	2434.87	1	2	5	1	69	Avenida Marechal Tito	689	Jardim Silva Teles	São Paulo	SP	08160-505	4
RA55004853	Aureline Guedelha Falcão Azeredo	20	1685.43	1	2	4	2	88	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	8
RA55002471	Valmires Carvalhais Mainha Durães	19	1122.99	1	1	3	1	2	Rua Almeida Araújo	681	Jardim Santa Etelvina	São Paulo	SP	08470-815	10
RA55004374	Priscila Cangueiro	20	2383.42	1	2	4	2	97	Rua Caetano Augusto	468	Mooca	São Paulo	SP	03190-070	7
RA55008525	Eriki Bernardes Canela	25	5044.63	1	1	2	1	5	Rua Almeida Araújo	681	Jardim Santa Etelvina	São Paulo	SP	08470-815	2
RA55000430	Jesseca Santos	19	688.99	1	2	3	1	45	Rua Dez de Julho	594	Cidade Ademar	São Paulo	SP	04404-000	9
RA55005245	Kewlly Cordeiro	20	1659.43	1	2	4	1	17	Rua Capitão João Noronha	747	Parque Mandaqui	São Paulo	SP	02418-050	8
RA55002120	Jenifer Ferraz	19	966.99	1	2	3	1	53	Rua Marcos Juarez	182	Vila Buenos Aires	São Paulo	SP	03736-090	10
RA55000386	Dirani Vale	19	775.99	1	2	3	1	31	Rua João Anes	464	Alto da Lapa	São Paulo	SP	05060-020	10
RA55001946	Thielle Sousa	19	799.99	1	2	3	1	88	Rua Major Almeida Queiroz	127	Instituto de Previdência	São Paulo	SP	05531-020	9
RA55004225	Ezanildo Franca	20	1688.43	2	1	4	2	61	Rua Sargento Noel de Camargo	221	Jardim Imperador (Zona Leste)	São Paulo	SP	03937-000	7
RA55000474	Vagnilson Farinha	19	1007.99	1	1	3	1	102	Rua Major Walter Carlson	532	Jardim Arpoador	São Paulo	SP	05565-210	9
RA55002130	Janeclessia Ataíde Leão Setúbal	19	1072.99	1	2	3	1	94	Rua São Pedro	138	Jardim Raposo Tavares	São Paulo	SP	05551-080	10
RA55006557	Altiva Mainha Maranhão	21	1263.88	1	2	5	2	48	Rua Almeida Campos	300	Vila Paulicéia	São Paulo	SP	02302-010	5
RA55006999	Laudila Beiriz Melgaço Amaral	21	2242.87	1	2	5	2	12	Avenida Marechal Juarez Távora	301	Super Quadra Morumbi	São Paulo	SP	05750-000	5
RA55001056	Isaelly Batata	19	735.99	2	2	3	1	77	Rua São Paulo	699	Conjunto Habitacional Turística	São Paulo	SP	05164-133	10
RA55003275	Altiele Carvalho	19	2331.97	1	1	3	2	27	Rua Soldado Aristides Gouveia	76	Parque Novo Mundo	São Paulo	SP	02188-090	8
RA55004962	Nilvan Camelo Candal Belém	20	1299.43	1	1	4	2	56	Praça M'Boi	654	Butantã	São Paulo	SP	05511-030	8
RA55005364	Azelina Canejo Balsemão Amarante	20	2171.42	1	2	4	1	52	Rua Marconi	820	Centro	São Paulo	SP	01047-905	7
RA55005817	Emival Anlicoara	20	1271.43	1	1	4	2	19	Rua 9 de Setembro	652	Chácara Gaivotas	São Paulo	SP	04849-333	6
RA55000812	Francineiva Gonçalves Nascimento	19	880.99	1	2	3	1	84	Praça da Sé	631	Sé	São Paulo	SP	01001-901	10
RA55004574	Alzemar Modesto Barcelos	20	2362.42	2	1	4	2	27	Rua Dom João VI	942	Jardim Luzitânia	São Paulo	SP	04032-100	8
RA55006138	Jedisson Maia Sá Keil	20	2421.42	1	1	4	1	84	Travessa Dezoito de Dezembro	659	Vila Tolstoi	São Paulo	SP	03269-035	5
RA55002389	Daislane Barrela	19	661.99	1	2	3	1	53	Rua Major Ari Gomes	118	Vila Mazzei	São Paulo	SP	02309-050	9
RA55009649	Maessa Baptista	31	8970.72	1	2	5	2	47	Travessa Dezoito de Dezembro	659	Vila Tolstoi	São Paulo	SP	03269-035	0
RA55006226	Jusciel Esparteiro	20	1431.43	1	1	4	2	100	Rua Ascensão	47	Jardim Textil	São Paulo	SP	03415-070	4
RA55000112	Anatane Craveiro Guedelha Valverde	19	346.0	2	2	3	1	57	Rua Vinte e Seis de Abril	307	Vila Esperança	São Paulo	SP	03651-020	9
RA55008910	Julita Covinha Barbalho	22	3978.3	1	2	2	2	49	Rua Sete de Abril	277	Parque Primavera	São Paulo	SP	04467-285	3
RA55001746	Adanir Chagas	19	654.99	1	2	3	1	100	Rua Flor de Maio	247	Parque das Flores	São Paulo	SP	08391-435	10
RA55007852	Diro Ávila	21	3595.86	1	1	5	2	37	Rua Vinte e Oito de Setembro	459	Vila Dom Pedro I	São Paulo	SP	04267-000	3
RA55001453	Matthews Marinho Baldaia	19	1205.99	1	1	3	1	33	Rua Dom Valentim	536	Jardim Colombo	São Paulo	SP	05629-040	10
RA55000320	Wares Silva	19	512.99	1	1	3	1	72	Avenida Odila	792	Planalto Paulista	São Paulo	SP	04058-021	9
RA55008594	Sintiane Rosa Marins Tabosa	25	5946.62	1	2	4	1	61	Rua Quatro de Agosto	14	Saúde	São Paulo	SP	04053-060	3
RA55003334	Lindonjonson Malheiro Fonseca	19	1792.98	1	1	3	2	50	Rua Major Dantas Cortez	683	Vila Gustavo	São Paulo	SP	02206-001	8
RA55001923	Iander Machado	19	716.99	2	1	3	1	81	Rua Nossa Senhora Aparecida	375	Jardim Francisco Mendes	São Paulo	SP	02366-110	9
RA55005866	Elias Lários Madruga	20	2039.43	1	2	4	2	72	Rua Primeiro de Maio	149	Jardim São Francisco	São Paulo	SP	08390-263	8
RA55009529	Cristiani Ginjeira Pais Penteado	31	7029.74	1	1	2	2	20	Avenida Moaci	541	Planalto Paulista	São Paulo	SP	04083-005	1
RA55003686	Jucivana Arantes Pequeno	20	1463.43	1	2	4	1	96	Rua Quinze de Novembro	803	Cantinho do Céu	São Paulo	SP	04849-527	6
RA55004276	Grasiete Fidalgo Morais	20	2079.42	1	2	4	1	33	Rua Vale Maior	533	Jardim Miriam	São Paulo	SP	04417-040	8
RA55004890	Alfreda Brito Velasques	20	1590.43	2	2	4	1	108	Avenida Moaci	772	Planalto Paulista	São Paulo	SP	04093-901	8
RA55005226	Albertoni Domingos Galvão	20	1988.43	1	1	4	2	77	Rua Doze de Outubro	921	União de Vila Nova	São Paulo	SP	08071-072	8
RA55007473	Darlean Tedim Mansilha Leitão	21	3013.86	1	1	5	2	53	Rua Vinte e Seis de Abril	307	Vila Esperança	São Paulo	SP	03651-020	2
RA55003606	Gilvane Taveira Nogueira Brum	20	1272.43	1	1	4	1	96	Rua Dom Aguirre	13	Vila Sofia	São Paulo	SP	04671-245	7
RA55001053	Grasciele Meneses Berenguer	19	1218.99	1	2	3	1	88	Rua Duque de Palmela	626	Vila Praia	São Paulo	SP	05750-200	10
RA55004157	Irismeire Martinho	20	1576.43	1	2	4	1	67	Rua Nossa Senhora Aparecida	604	Jardim Felicidade (Zona Norte)	São Paulo	SP	02326-105	6
RA55009677	Talvanio Lalanda Loureiro	41	9793.73	1	1	3	1	66	Rua Armando Barbosa	42	Jardim Santa Adélia	São Paulo	SP	03974-010	1
RA55000100	Fanuel Valadim Quintela Sabrosa	19	121.0	1	1	3	1	20	Rua Rainha-do-Bosque	864	Vila Santa Inês	São Paulo	SP	03812-030	10
RA55007509	Tassita Reis Homem	21	3036.86	1	2	5	2	51	Avenida Nove de Julho	282	Jardim Paulista	São Paulo	SP	01407-902	3
RA55001457	Albrto Dantas Bugalho Craveiro	19	1051.99	1	1	3	1	24	Rua Barão de Suruí	910	Vila Congonhas	São Paulo	SP	04612-120	9
RA55007689	Delion Paixão	21	2736.86	1	1	5	1	106	Praça Elfos	452	Jardim Marajoara	São Paulo	SP	04664-090	2
RA55004005	Urculino Santarém Bento	20	2270.42	2	1	4	1	84	Rua Quatro de Agosto	14	Saúde	São Paulo	SP	04053-060	7
RA55006867	Vernei Hilário	21	1548.88	1	1	5	1	42	Rua Marechal Pimentel	204	Sacomã	São Paulo	SP	04248-100	5
RA55004510	Laerton Ferro Couto	20	1649.43	1	1	4	2	110	Rua Frei João	771	Vila Nair	São Paulo	SP	04280-130	6
RA55003300	Nadiel Fortes Matos	19	1964.98	1	1	3	1	107	Rua Mozart Pinto	985	Jardim Guarujá	São Paulo	SP	05877-280	8
RA55003800	Daywison Charneca Lousã	20	1293.43	1	1	4	1	72	Rua São Marcos	547	Chácara Gaivotas	São Paulo	SP	04849-314	8
RA55004282	Vislaine Sodré Cachão Noronha	20	1405.43	1	2	4	2	74	Rua Marcos Lopes	456	Vila Nova Conceição	São Paulo	SP	04513-080	6
RA55009052	Delmicio Lousã Malheiro Carmona	24	4598.19	1	1	5	2	16	Rua São Bruno	741	Jardim São Bento	São Paulo	SP	02525-020	0
RA55006463	Valdenesio Fragoso Malafaia Ramos	21	1467.88	1	1	5	1	5	Rua Silva Pinto	972	Bom Retiro	São Paulo	SP	01126-010	5
RA55007913	Gleison Madruga	21	2827.86	2	1	5	1	102	Rua Acuruí	534	Vila Formosa	São Paulo	SP	03355-000	2
RA55001415	Bethoven Quintanilha Franqueira	19	872.99	1	1	3	1	13	Rua Vinte e Seis de Abril	307	Vila Esperança	São Paulo	SP	03651-020	10
RA55000541	Andrielly Rolim Hernandes Cavaco	19	1136.99	2	2	3	1	14	Rua Marechal Morais Âncora	434	Jardim Maria Luiza	São Paulo	SP	05371-000	9
RA55005816	Oliveiros Toste	20	1618.43	1	1	4	1	6	Rua Treze de Agosto	878	Vila União (Zona Leste)	São Paulo	SP	03920-070	7
RA55008200	Jardiele Esparteiro Ávila Neiva	23	2933.76	1	2	3	2	90	Rua D	297	Jardim Mar Lune	São Paulo	SP	04874-190	3
RA55003681	Aislan Amarante	20	2247.42	1	1	4	2	61	Rua Monsenhor Anacleto	339	Brás	São Paulo	SP	03003-020	7
RA55000755	Dunia Landim Câmara Chainho	19	687.99	1	2	3	1	110	Rua Almeida Campos	300	Vila Paulicéia	São Paulo	SP	02302-010	10
RA55004197	Deuseli Azenha	20	1511.43	1	2	4	1	78	Rua José de Almeida	979	Vila Medeiros	São Paulo	SP	02204-001	8
RA55002651	Adelicio Filgueiras Almeida Sanches	19	2369.97	1	1	3	2	75	Rua João Canzi	697	Jardim Patente	São Paulo	SP	04243-090	10
RA55004523	Anik Dantas Mieiro Adão	20	1935.43	1	2	4	2	10	Rua Vinte e Sete de Setembro	464	Cidade Nova Heliópolis	São Paulo	SP	04235-040	6
RA55009520	Ruimar Moreira Sardo Espinosa	26	8650.04	2	2	1	1	5	Rua 9 de Setembro	652	Chácara Gaivotas	São Paulo	SP	04849-333	1
RA55003119	Kauany Mirandela Outeiro	19	1257.99	1	2	3	2	27	Rua João Pais	348	Jardim Petrópolis	São Paulo	SP	04603-904	8
RA55003729	Arinaldo Catela	20	1449.43	1	1	4	2	84	Rua Caetano Pinto	235	Brás	São Paulo	SP	03041-000	6
RA55003887	Araides Monforte Hernandes Maior	20	1868.43	1	2	4	2	93	Rua Pedro Bruno	172	Butantã	São Paulo	SP	05506-010	7
RA55007108	Gessione Ferraz	21	2853.86	1	1	5	2	71	Rua Pedro Lembi	593	Vila Maria Baixa	São Paulo	SP	02110-020	3
RA55008069	Venesia Custódio Amorim	23	3664.75	1	2	1	1	84	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	2
RA55007326	Sherlen Portela Cordeiro	21	2754.86	2	2	5	2	101	Rua Ursa Maior	650	Cidade Satélite Santa Bárbara	São Paulo	SP	08330-390	3
RA55008484	Talita Xavier Esteves	24	3588.2	2	2	4	2	27	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	2
RA55008768	Josevando Bezerra Quinteiro Valim	25	5142.63	1	1	4	2	112	Rua Vandoma	793	Parque Cocaia	São Paulo	SP	04850-170	2
RA55006501	Yamille Santiago Remígio Keil	21	2062.87	1	2	5	2	80	Rua Carapuruí	62	Alto da Lapa	São Paulo	SP	05059-050	5
RA55008427	Joiara Vidigal Nóbrega	24	3384.2	1	2	1	2	18	Rua Marcos Freire	439	Jardim Nova Conquista	São Paulo	SP	08346-580	2
RA55007964	Joaozito Goulão Osório	21	3388.86	2	1	5	2	37	Avenida Nove de Julho	873	Jardim Paulista	São Paulo	SP	01407-907	3
RA55000602	Lindelvania Brasil	19	1150.99	2	2	3	1	43	Praça Félix	787	Vila Sílvia	São Paulo	SP	03820-210	9
RA55009250	Elzilaine Frazão Rodovalho Carregueiro	23	4496.74	1	2	3	1	77	Rua Sete de Junho	453	União de Vila Nova	São Paulo	SP	08072-075	1
RA55008920	Normande Palha Martinho	22	5111.29	2	1	2	2	59	Travessa Sete de Setembro	449	Recanto dos Humildes	São Paulo	SP	05209-550	3
RA55006815	Chauane Dias Imperial	21	1223.88	1	2	5	2	109	Rua Rafael Barbosa	976	Jardim Maria Luiza	São Paulo	SP	05371-080	5
RA55005412	Ariade Antas Baldaia	20	2242.42	1	2	4	2	16	Avenida Ceci	688	Planalto Paulista	São Paulo	SP	04065-004	7
RA55008748	Corbiniano Feira Aleixo Anlicoara	24	5701.17	1	1	4	1	55	Rua Joaquim Caetano	994	Cidade Nova América	São Paulo	SP	04897-525	2
RA55005523	Idejane Falcão Alvarenga Faro	20	1281.43	1	2	4	2	30	Rua Vinte e Sete de Setembro	464	Cidade Nova Heliópolis	São Paulo	SP	04235-040	8
RA55001045	Elvia Corte-Real Quinta	19	925.99	1	2	3	1	105	Rua A	587	Jardim Elizabeth	São Paulo	SP	08320-685	10
RA55007335	Agnalva Marreiro	21	2449.87	1	2	5	1	12	Rua Marechal Malet	170	Parque da Vila Prudente	São Paulo	SP	03140-020	3
RA55001558	Angeluza Negromonte Moreno Homem	19	1168.99	1	2	3	1	39	Rua Vinte e Oito de Setembro	136	Vila Dom Pedro I	São Paulo	SP	04267-000	9
RA55003740	Deonildes Diegues	20	2367.42	1	2	4	2	67	Praça da Sé	358	Sé	São Paulo	SP	01001-901	7
RA55003523	Clevania Félix Figueiroa Vital	19	2177.98	1	2	3	2	86	Praça da Sé	631	Sé	São Paulo	SP	01001-901	7
RA55000181	Ailton Madeira Carvalhosa Linhares	19	357.0	1	1	3	1	40	Travessa Cinco de Janeiro	924	Jardim São Savério	São Paulo	SP	04194-345	10
RA55002116	Neurisvan Carvalhosa Veleda	19	1208.99	1	1	3	1	25	Rua Dez de Julho	594	Cidade Ademar	São Paulo	SP	04404-000	10
RA55001700	Wellinto Taveira Águeda	19	1136.99	1	1	3	1	4	Rua Major Júlio Valente	218	Parque Doroteia	São Paulo	SP	04474-310	10
